/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('left', 'green', 'left', None)
 -- left : 0.00

('right', 'red', 'forward', 'forward')
 -- forward : 0.00
 -- right : -10.12
 -- None : 0.00
 -- left : 0.00

('left', 'green', 'right', 'right')
 -- forward : 0.37
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('forward', 'red', 'left', None)
 -- forward : 0.00
 -- right : 0.74
 -- None : 0.00
 -- left : -5.31

('forward', 'green', 'forward', 'right')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : -9.77

('left', 'green', 'forward', 'forward')
 -- forward : 0.61
 -- right : 0.00
 -- None : -4.00
 -- left : 0.00

('left', 'red', 'forward', None)
 -- forward : 0.00
 -- right : -0.02
 -- None : 0.00
 -- left : -5.24

('forward', 'green', 'right', 'left')
 -- forward : 0.94
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'green', 'left', 'forward')
 -- forward : 0.00
 -- right : 1.13
 -- None : 0.00
 -- left : 0.00

('right', 'green', None, None)
 -- forward : -0.35
 -- right : 2.29
 -- None : -5.35
 -- left : 0.21

('left', 'green', None, 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 1.29

('right', 'green', 'right', None)
 -- forward : 0.00
 -- right : 0.94
 -- None : -2.73
 -- left : 0.00

('right', 'red', None, 'right')
 -- forward : 0.00
 -- right : 1.53
 -- None : 0.00
 -- left : 0.00

('forward', 'green', None, None)
 -- forward : 2.10
 -- right : 0.34
 -- None : -3.60
 -- left : 1.20

('right', 'red', 'right', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.57
 -- left : 0.00

('forward', 'red', 'forward', 'left')
 -- forward : 0.00
 -- right : 0.46
 -- None : 0.00
 -- left : 0.00

('forward', 'green', None, 'left')
 -- forward : 1.90
 -- right : 0.59
 -- None : 0.00
 -- left : 0.26

('left', 'green', 'left', 'left')
 -- forward : 0.00
 -- right : 0.61
 -- None : -2.09
 -- left : 0.00

('forward', 'red', 'right', None)
 -- forward : 0.00
 -- right : 0.60
 -- None : 0.00
 -- left : 0.00

('right', 'red', 'right', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', None, 'forward')
 -- forward : -19.54
 -- right : -14.41
 -- None : 1.38
 -- left : -35.38

('left', 'red', None, 'right')
 -- forward : -4.93
 -- right : 0.37
 -- None : 0.00
 -- left : -5.09

('right', 'green', 'left', 'forward')
 -- forward : 0.00
 -- right : 1.17
 -- None : 0.00
 -- left : 0.28

('right', 'red', 'forward', 'left')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.03
 -- left : 0.00

('left', 'red', 'forward', 'left')
 -- forward : -5.29
 -- right : -0.00
 -- None : 0.00
 -- left : -4.67

('left', 'red', None, 'left')
 -- forward : -4.91
 -- right : 0.62
 -- None : 0.00
 -- left : -4.89

('right', 'green', 'left', None)
 -- forward : 0.00
 -- right : 2.02
 -- None : -4.80
 -- left : 0.00

('left', 'green', 'left', 'right')
 -- forward : 0.00
 -- right : 0.19
 -- None : -2.28
 -- left : 0.00

('right', 'green', 'forward', None)
 -- forward : 0.36
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('left', 'red', None, None)
 -- forward : -4.98
 -- right : 0.65
 -- None : 1.26
 -- left : -9.59

('right', 'red', 'left', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.42
 -- left : -20.34

('right', 'red', 'left', 'left')
 -- forward : 0.00
 -- right : 0.74
 -- None : 0.00
 -- left : 0.00

('right', 'green', 'forward', 'left')
 -- forward : 0.64
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'red', None, 'left')
 -- forward : -4.97
 -- right : 1.33
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'forward', 'forward')
 -- forward : 0.00
 -- right : 0.75
 -- None : 0.00
 -- left : 0.00

('forward', 'green', 'forward', None)
 -- forward : 0.00
 -- right : 0.69
 -- None : -2.58
 -- left : -17.44

('left', 'red', 'left', 'right')
 -- forward : -5.35
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

('right', 'green', 'right', 'forward')
 -- forward : 0.00
 -- right : 0.00
 -- None : 0.00
 -- left : 0.00

